/*
// 注釋/例句
繁簡轉換前誤	正
历史里程碑	歷史里程碑
// 解析錯誤 @ 《一品修仙》	(v:贯穿里许+nd:之后+wp:，)
贯穿里许	貫穿里許
// 解析錯誤 @ 《一品修仙》	就造成了区区里许之地， (d:就+v:造成+u:了+n:区区+nd:里+m:许+u:之+n:地)
里许之地	里許之地
村里长	村里長
// 解析錯誤 @ 《中国历史那些事儿系列套装》	郦食其这个里监门吏， (nh:郦食其+r:这个+nd:里+v:监+n:门吏+wp:，) (nh:郦食其+r:这个+nd:里+v:监门吏) (r:这个+n:里+n:监门吏) (n:里监+n:门吏)
里监门吏	里監門吏
// 解析錯誤: 《南总里见八犬传》。 (南總里+见)
南总里	南總里
// 《我师兄实在太稳健了》	沙里瓦、沙里瓦 (~沙里瓦<COO>v:吼 nz:沙里瓦+wp:、+nz:沙里瓦)
沙里瓦	沙里瓦
// 差距不可以道裡計。
//以道裡計	以道里計

// [[s:西遊記百回詳注/81]] 劈里啪啦
// [[s:李公案/23]] 劈裡啪啦
// 噼哩啪啦
// 《咫尺之间人尽敌国》	噼里啪啦 (~噼里啪啦 o:噼里啪啦)
噼里啪啦	劈里啪啦
// 《从红月开始》	她小腿已经噼哩啪啦的甩开， (~劈里啪啦<ADV>v:甩开 r:她+n:小腿+d:已经+o:噼哩啪啦+u:的+v:甩开+wp:，)
噼哩啪啦	劈里啪啦

// 《随波逐流之一代军师》	在短短的十几里山路上， (~里<ATT>n:山路 p:在+z:短短的+m:十几+q:里+n:山路+nd:上)
十几里	十幾里
// 解析錯誤 @ 《一品修仙》	转眼间便被卷动着冲出了上千里。 (~里<CMP>v:冲 ~里<←ATT>v:上千 v:冲+v:出+u:了+v:上千+nd:里)
上千里	上千里
一千里	一千里
两千里	兩千里
二千里	二千里
三千里	三千里
四千里	四千里
// 《平平无奇大师兄》	向西横推了五千里， (d:横+v:推+u:了+m:五千+q:里)
五千里	五千里
六千里	六千里
七千里	七千里
//八千里	八千里
九千里	九千里
// 《一品修仙》	射向了四万八千里之外的嬴帝。 (~里<ATT>nd:之外 v:射+p:向+u:了+m:四万八千+q:里+nd:之外+u:的+nh:嬴帝+wp:。)
四万八千里	四萬八千里
// 《烂柯棋缘》	万千里外的计缘嘴角微微浮现一丝笑意， (~里<ATT>nd:外 m:万千+q:里+nd:外+u:的+n:计缘+n:嘴角+d:微微+v:浮现+m:一+q:丝+n:笑意+wp:，)
万千里	萬千里
一万里	一萬里
两万里	兩萬里
二万里	二萬里
三万里	三萬里
四万里	四萬里
五万里	五萬里
六万里	六萬里
七万里	七萬里
八万里	八萬里
九万里	九萬里
// 《无敌大佬要出世》	方圆十万里空间轰然晃动。 (n:方圆+m:十万+q:里+n:空间)
十万里	十萬里
// 《不会真有人觉得修仙难吧》	横跨五万五千里左右的距离。 (~里<ATT>n:距离 v:横跨+m:五万五千+q:里+m:左右+u:的+n:距离+wp:。)
五万五千里	五萬五千里
十一万里	十一萬里
十二万里	十二萬里
十三万里	十三萬里
十四万里	十四萬里
十五万里	十五萬里
十六万里	十六萬里
十七万里	十七萬里
十八万里	十八萬里
十九万里	十九萬里
// 《平平无奇大师兄》	运气好一点，你可能就出现在十几万里外， (p:在+m:十几万+q:里+nd:外)
十几万里	十幾萬里
// 《平平无奇大师兄》	二十多万里， (m:二十+m:多+m:万+q:里)
十多万里	十多萬里
// 《一品修仙》	也就一百多万里的距离而已， (~里<ATT>n:距离 d:也+d:就+m:一百+m:多+m:万+q:里+u:的+n:距离+u:而已+wp:，)
一百多万里	一百多萬里
// 解析錯誤 @ 《神国之上》	一剑百万里。 (i:一剑百万+nd:里)
百万里	百萬里
一百万里	一百萬里
两百万里	兩百萬里
二百万里	二百萬里
三百万里	三百萬里
四百万里	四百萬里
// 《平平无奇大师兄》	五百万里？ (m:五百万+q:里)
五百万里	五百萬里
六百万里	六百萬里
七百万里	七百萬里
// 《平平无奇大师兄》	如今距离玲珑圣地仅仅只有不到八百万里。 (d:只+v:有+d:不+v:到+m:八百万+q:里)
八百万里	八百萬里
九百万里	九百萬里
// 《神国之上》	千万里之外的柳希婉飞了起来，
千万里	千萬里
// 《无敌大佬要出世》	万万里都可看到这尊虚影。 (m:万万+q:里+d:都+v:可+v:看到)
万万里	萬萬里
// 《平平无奇大师兄》	相隔千千万万里。 (v:相隔+m:千千万万+q:里)
千千万万里	千千萬萬里
// 《无敌大佬要出世》	距离黑莲河不知多少亿里之外的某片山脉之上， (v:不知+r:多少+m:亿+q:里+nd:之外)
亿里	億里
// 《无敌大佬要出世》	曾经有多少世家少主不惜亿万里迢迢前往琴画宗， (v:不惜+m:亿万+q:里+z:迢迢+v:前往+j:琴+n:画+n:宗)
亿万里	億萬里
几十里	幾十里
// 《我在幕后调教大佬》	鞭子长成了好几里那么长， (~里<ADV>a:长 n:鞭子+v:长成+u:了+m:好几+q:里+r:那么+a:长+wp:，)
好几里	好幾里
// 《一品修仙》	半夜走了好几十里， (~里<CMP>v:走 nt:半夜+v:走+u:了+m:好几十+q:里+wp:，)
// 《一品修仙》	向西走出了三十多里，才绕了一个大圈向东再次折返好几十里， (~里<CMP>v:折返 p:向+nd:西+v:走+v:出+u:了+m:三十+m:多+q:里+wp:，+d:才+v:绕+u:了+m:一个+a:大+n:圈+p:向+nd:东+d:再次+v:折返+m:好几十+q:里+wp:，)
好几十里	好幾十里
// 《随波逐流之一代军师》	不过这几百里的败退路程并不好走， (c:不过+r:这+m:几百+q:里+u:的+v:败退+n:路程+d:并+a:不好+v:走)
几百里	幾百里
// 《一品修仙》	忽然间有好几百里地， (~里<ATT>n:地 d:忽然+nd:间+v:有+m:好几百+q:里+n:地+wp:，)
好几百里	好幾百里
// 《无敌大佬要出世》	再往前进几千里就是冥神大人的修炼之地了。 (d:再+v:往+v:前+v:进+m:几千+q:里)
几千里	幾千里
// 《一品修仙》	还专门跑了好几千里， (~里<CMP>v:跑 d:还+d:专门+v:跑+u:了+m:好几千+q:里+wp:，)
好几千里	好幾千里
// 《我师兄实在太稳健了》	远在几万里外的酒乌， (v:远在+m:几万+q:里+nd:外+u:的+nh:酒乌)
几万里	幾萬里
好几万里	好幾萬里
// 《平平无奇大师兄》	几十万里外。 (m:几十万+q:里+nd:外)
几十万里	幾十萬里
// 《一品修仙》	追了他好几十万里的阴影， (~里<CMP>v:追 v:追+u:了+r:他+m:好几十万+q:里+u:的+n:阴影+wp:，)
好几十万里	好幾十萬里
// 《平平无奇大师兄》	运气稍微差一点，你可能会掉到几百万里，甚至是几千万里外。 (r:你+v:可能+v:会+v:掉+v:到+m:几百万+q:里+wp:，+d:甚至+v:是+m:几千万+q:里+nd:外)
几百万里	幾百萬里
几千万里	幾千萬里
// 《剑仙三千万》	尽管圣龙宗相隔龙骧国有上万里之遥， (~里<ATT>a:遥 c:尽管+nz:圣龙宗+v:相隔+ns:龙骧国+v:有+m:上万+q:里+u:之+a:遥+wp:，)
上万里	上萬里
// 《一品修仙》	都有上百万里了， (~里<VOB>v:有 d:都+v:有+m:上百万+q:里+u:了+wp:，)
上百万里	上百萬里
// 《一品修仙》	拓展到成千上万里， (~里<POB>v:到 v:拓展+v:到+i:成千上万+q:里+wp:，)
成千上万里	成千上萬里
// 《无敌大佬要出世》	周围数千里方圆， (nd:周围+m:数千+q:里+n:方圆)
数千里	數千里
// 解析錯誤 @ 《一品修仙》	跨越了足足十数万里距离， (~里<ATT>n:距离 ~里<←ATT>m:十数万 v:跨越+u:了+d:足足+m:十数万+n:里+n:距离)
数万里	數萬里
// 《无敌大佬要出世》	还是数十万里？ (c:还是+m:数十万+q:里)
数十万里	數十萬里
// 《一品修仙》	瞬间横扫数百万里。 (~里<VOB>v:横扫 nt:瞬间+v:横扫+m:数百万+q:里+wp:。)
数百万里	數百萬里
// 《超神机械师》	我看到虚空中打开一个个横亘数千万里的虫洞， (~里<CMP>v:横亘 r:我+v:看到+n:虚空+nd:中+v:打开+m:一个个+v:横亘+m:数千万+q:里+u:的+n:虫洞+wp:，)
数千万里	數千萬里
// 《我在幕后调教大佬》	差不多得有几亿里那么大， (~里<VOB>v:有 i:差不多+v:得+v:有+m:几亿+q:里+r:那么+a:大+wp:，)
几亿里	幾億里
// 《中国历史那些事儿系列套装》	千有余里。 (m:千+v:有+m:余+q:里+wp:。)
千有余里	千有餘里
// 《大奉打更人》	很容易造成千里送人头的惨剧。 (~里<ADV>v:送 d:很+a:容易+v:造成+m:千+q:里+v:送+n:人头+u:的+n:惨剧+wp:。)
成千里	成千里
// 《问道红尘》	狂猛的冲击力震得他倒退不知多少里， (v:不知+r:多少+q:里)
多少里	多少里
// 《全球高武》	距离它不过几里地的力无奇， (p:距离+r:它+d:不过+m:几+q:里+n:地+u:的)
过几里	過幾里
// 《我师兄实在太稳健了》	却见几里之外一朵云上， (~里<ATT>nd:之外 d:却+v:见+m:几+q:里+nd:之外+m:一+q:朵+n:云+nd:上+wp:，)
见几里	見幾里
// 《随波逐流之一代军师》	泗州城距离淮水只有两里远， (d:只+v:有+m:两+q:里+a:远)
两里远	兩里遠
// 《顶级气运，悄悄修炼千年》	活跃范围不到方圆两里。 (~里<VOB>v:到 v:活跃+n:范围+d:不+v:到+n:方圆+m:两+q:里+wp:。)
方圆两里	方圓兩里


// ~舍 ~捨
舍	捨
// 解析錯誤 @ 《一品修仙》	当这个舍，不能确定得的时候。 (p:当+r:这个+v:舍+wp:，) (~捨<FOB>v:确定 p:当+r:这个+n:舍+wp:，+d:不+v:能+v:确定+u:得+u:的+n:时候+wp:。)
这个舍	這個捨

// 解析錯誤 @ 《宋朝游历指南》	在《庆元条法事类》卷十《职制门七·舍驿》中白纸黑字写着呢， (~·舍驛<ATT>n:类 p:在+wp:《+nz:庆元条法事+n:类+wp:》+n:卷十+wp:《+n:职制门+m:七+wp:·舍驿+wp:》+nd:中+i:白纸黑字+v:写+u:着+u:呢+wp:，) (~舍驛<ATT>nd:中 p:在+wp:《+nz:庆元+n:条+n:法事类+wp:》+n:卷+m:十+wp:《+n:职制+n:门+m:七+wp:·+n:舍驿+wp:》+nd:中+i:白纸黑字+v:写+u:着+u:呢+wp:，)
舍驿	舍驛
// 《宋朝游历指南》	沿驿道每隔六十里左右设置专门的驿舍， (~驛舍<VOB>v:设置 p:沿+n:驿道+r:每+v:隔+m:六十+q:里+m:左右+v:设置+b:专门+u:的+n:驿舍+wp:，)
驿舍	驛舍
// 解析錯誤 @ 《我师兄实在太稳健了》	被夺舍了？ (~舍<COO>v:夺 ~舍<parent.relate:eSUCC>v:夺 p:被+v:夺+v:舍+u:了+wp:？) (~舍<VOB>v:夺 ~舍<parent.relate:eSUCC>v:夺 p:被+v:夺+v:舍+u:了+wp:？)
夺舍	奪舍
// 《烂柯棋缘》	日后借机夺其舍占其运啊！ (~舍<VOB>v:夺 nt:日后+d:借机+v:夺+r:其+n:舍+v:占+r:其+n:运+u:啊+wp:！)
夺其舍	奪其舍
// 《我的一天有48小时》	鸽舍里的鸽子都是她自己建造的。 (~鴿舍<ATT>nd:里 n:鸽舍+nd:里+u:的+n:鸽子+d:都+v:是+r:她+r:自己+v:建造+u:的+wp:。)
鸽舍	鴿舍
// 《我的一天有48小时》	妮莉感觉自己就像是闯入猫舍的老鼠，好在幸运的是猫舍的主人今天并不在家， (~貓舍<VOB>v:闯入 nh:妮莉+v:感觉+r:自己+d:就+v:像+v:是+v:闯入+n:猫舍+u:的+n:老鼠+wp:，+d:好在+a:幸运+u:的+v:是+n:猫舍+u:的+n:主人+nt:今天+d:并+d:不+v:在家+wp:，)
猫舍	貓舍
// 《亏成首富从游戏开始》	还需要笼舍、饲料、 (~籠舍<VOB>v:需要 d:还+v:需要+n:笼舍+wp:、+n:饲料+wp:、)
笼舍	籠舍
// 《无敌大佬要出世》	那我便让人将始祖大人的院舍整理干净， (~院舍<POB>p:将 r:那+r:我+d:便+v:让+n:人+p:将+n:始祖+n:大人+u:的+n:院舍+v:整理+a:干净+wp:，)
院舍	院舍
// 《中国历史那些事儿系列套装》	所以暂时将王世充一家拘押在雍州廨舍， (~廨舍<POB>p:在 c:所以+d:暂时+p:将+nh:王世充+n:一家+v:拘押+p:在+ns:雍州+n:廨舍+wp:，)
廨舍	廨舍
// 《我的一天有48小时》	同宿舍一起活动， (~宿舍<POB>p:同 p:同+n:宿舍+d:一起+v:活动+wp:，)
同宿舍	同宿舍
// https://zh.moegirl.org.cn/夏尔米
// [general.TW.txt]	舍露美嘉年华。 (~舍露美<ATT>n:嘉年华 nz:舍露美+n:嘉年华+wp:。)
舍露美	舍露美
// https://zh.wikisource.org/wiki/佛學大辭典/阿婆盧吉低舍婆羅
// [general.TW.txt]	阿婆卢吉低舍婆罗。 (n:阿婆+nh:卢吉低舍婆罗+wp:。)
阿婆卢吉低舍婆罗	阿婆盧吉低舍婆羅


// 《超神机械师》	是军团创造了一个死斗的环境， (~死鬥<ATT>n:环境 v:是+n:军团+v:创造+u:了+m:一个+v:死斗+u:的+n:环境+wp:，)
死斗	死鬥
// 解析錯誤 @ 《我师兄实在太稳健了》	若空中激斗的金仙，再有一剑落下， (c:若+nl:空中+v:激斗+u:的+n:金仙)
激斗	激鬥
// 解析錯誤 @ 《平平无奇大师兄》	那诸位师兄弟，便做好血斗的准备了， (~血鬥<ATT>v:准备 d:便+v:做好+n:血斗+u:的+v:准备+u:了) (~鬥<ATT>v:准备 ~鬥<←ADV>n:血 d:便+v:做+a:好+n:血+v:斗+u:的+v:准备+u:了)
血斗	血鬥
// 《第一序列》	心眼贼多的钱卫宁便脑补了一场顶级巫师家族之间的政斗大戏…… (~政鬥<ATT>n:大戏 n:心眼+d:贼+a:多+u:的+nh:钱卫宁+d:便+v:脑补+u:了+m:一+q:场+b:顶级+n:巫师+n:家族+nd:之间+u:的+n:政斗+n:大戏+wp:……)
政斗	政鬥
// 《亏成首富从游戏开始》	竟然没有上演宫斗的戏码…… (~宮鬥<ATT>n:戏码 d:竟然+d:没有+v:上演+n:宫斗+u:的+n:戏码+wp:……)
// 《亏成首富从游戏开始》	那边也发生了一幕幕的宫斗大戏。 (~宮鬥大戲<VOB>v:发生 r:那边+d:也+v:发生+u:了+m:一幕幕+u:的+n:宫斗大戏+wp:。)
宫斗	宮鬥
// 《我在幕后调教大佬》	是街斗的脏手段， (~街鬥<ATT>n:手段 v:是+n:街斗+u:的+a:脏+n:手段+wp:，)
街斗	街鬥
// 《亏成首富从游戏开始》	做成大乱斗的形式。 (~大亂鬥<ATT>n:形式 v:做成+n:大乱斗+u:的+n:形式+wp:。) (~亂鬥<ATT>n:形式 v:做成+d:大+v:乱斗+u:的+n:形式+wp:。)
乱斗	亂鬥
// 《大奉打更人》	正是你们这群只知道窝里斗的读书人， (~窩裡鬥<VOB>v:知道 v:正是+r:你们+r:这+q:群+d:只+v:知道+i:窝里斗+u:的+n:读书人+wp:，)
窝里斗	窩裡鬥
// 《我师兄实在太稳健了》	现在还沉浸在当年师伯离他而去、自己输了比斗的失落中， (r:自己+v:输+u:了+v:比斗+u:的+v:失落+nd:中)
比斗的	比鬥的
// 《我师兄实在太稳健了》	充分体现了远古贵族好勇善斗的精神面貌。 (~好勇善鬥<ATT>n:面貌 ~好勇善鬥<role.type:A0>远古贵族 a:充分+v:体现+u:了+nt:远古+n:贵族+i:好勇善斗+u:的+n:精神+n:面貌+wp:。)
善斗的	善鬥的
// 游擊戰
// 《我师兄实在太稳健了》	配合此前一直在游斗的那批最先登场的西方高手， (~游鬥<ATT>n:高手 v:配合+nt:此前+d:一直+d:在+v:游斗+u:的+r:那+q:批+d:最先+v:登场+u:的+nl:西方+n:高手+wp:，)
游斗的	游鬥的
// 《超神机械师》	却没有采取猥琐的游斗方式， (~游鬥<ATT>n:方式 d:却+d:没有+v:采取+a:猥琐+u:的+v:游斗+n:方式+wp:，)
游斗方式	游鬥方式
// 《咫尺之间人尽敌国》	两年如一日的也只有他们黄金十二宫的黄金斗士了。 (~鬥士<VOB>d:只有 m:两+q:年+v:如+m:一+q:日+u:的+d:也+d:只有+r:他们+n:黄金+m:十二+n:宫+u:的+n:黄金+n:斗士+u:了+wp:。)
金斗士	金鬥士
// 《大奉打更人》	谁不向往斗酒诗百篇， (~鬥酒詩<ATT>q:篇 r:谁+d:不+v:向往+n:斗酒诗+m:百+q:篇+wp:，)
斗酒诗	鬥酒詩
// 《随波逐流之一代军师》	像其他的画舫那样传出丝竹琴韵、猜拳斗酒的声音。 (i:猜拳斗酒+u:的+n:声音)
猜拳斗酒	猜拳鬥酒
// 《烂柯棋缘》	而同泰云宗长老斗法的依然有十几个妖气滚滚的妖怪， (~鬥法<SBV>v:有 ~鬥法<role.type:A0>同泰云宗长老 c:而+p:同+nz:泰云宗+n:长老+v:斗法+u:的+d:依然+v:有+m:十几+q:个+i:妖气滚滚+u:的+n:妖怪+wp:，)
老斗法	老鬥法
// 《一品修仙》	秦阳没继续跟耄老斗嘴皮， (~鬥<VOB>v:继续 ~鬥<role.type:A0>秦阳 ~鬥<role.type:ARGM-ADV>没 ~鬥<role.type:A0>跟耄老 ~鬥<role.type:A1>嘴皮 nh:秦阳+d:没+v:继续+p:跟+n:耄老+v:斗+n:嘴皮+wp:，)
老斗嘴	老鬥嘴
// 《从红月开始》	发现他在玩魂斗罗。 (~魂斗羅<VOB>v:玩 v:发现+r:他+d:在+v:玩+nz:魂斗罗+wp:。)
魂斗罗	魂斗羅
// 解析錯誤 @ 《我师兄实在太稳健了》	(wp:“+v:斗大神+wp:！+wp:”) (nh:斗大神+wp:！)
// 解析錯誤 @ 《我师兄实在太稳健了》	不讲课就一起斗大神呀！ (d:一起+v:斗+a:大神+u:呀) (~鬥<←VOB>n:大神 d:一起+v:斗+n:大神+u:呀)	回来一起斗大神！ (v:回来+d:一起+v:斗+a:大神)
斗大神	鬥大神
// 《一品修仙》	老皇帝在做困兽斗的时候， (~困獸鬥<VOB>v:做 a:老皇帝+p:在+v:做+v:困兽斗+u:的+n:时候+wp:，)
困兽斗	困獸鬥
// 《从红月开始》	不用天天跟斗鸡似的绷着自己…… (~鬥雞<POB>p:跟 d:不用+q:天天+p:跟+n:斗鸡+u:似的+v:绷+u:着+r:自己+wp:……)
跟斗鸡	跟鬥雞
// 《我师兄实在太稳健了》	这不是跟斗仙虫一个意思嘛， (~鬥仙蟲<POB>p:跟 r:这+d:不+v:是+p:跟+n:斗仙虫+m:一个+n:意思+u:嘛+wp:，)
跟斗仙虫	跟鬥仙蟲

// 《第一序列》	陆泽独占十二斗，其他人倒欠两斗。 (~斗<VOB>v:欠 nh:陆泽+v:独占+m:十二+q:斗+wp:，+r:其他人+d:倒+v:欠+m:两+q:斗+wp:。)
两斗	兩斗
// 《烂柯棋缘》	实则其实是好几斗， (~斗<VOB>v:是 d:实则+d:其实+v:是+m:好几+q:斗+wp:，)
好几斗	好幾斗
// 捨汝而旅食京師，以求斗斛之祿，
斗斛	斗斛
高斗枢	高斗樞
// 《西遊記》第七回：翻轉觔斗雲，徑回本處
// 解析錯誤 @ 《我师兄实在太稳健了》	(n:筋斗云) (nh:筋斗云)
筋斗云	觔斗雲
// 《莫求仙缘》	遁向北斗宫。 (~北斗宮<POB>p:向 v:遁+p:向+ns:北斗宫+wp:。)
北斗宫	北斗宮
// 《太浩》	一缕火光似慢实快蹿向北斗第七星摇光星的边缘。 (~北斗<ATT>n:星 m:一+q:缕+n:火光+v:似+a:慢+a:实+a:快+v:蹿+p:向+nz:北斗+m:第七+n:星+v:摇+n:光+n:星+u:的+n:边缘+wp:。)
向北斗	向北斗
// 解析錯誤 @ 《我师兄实在太稳健了》	已是繁星满天斗。 (a:繁星+a:满天斗) (n:繁星满天斗)
满天斗	滿天斗
// 《问道红尘》	这一手莫非是斗换星移？ (i:斗换星移)
斗换星移	斗換星移
// 解析錯誤 @ 《大奉打更人》	(wp:“+i:移+n:星换斗+wp:”)
星换斗	星換斗
// 解析錯誤 @ 《烂柯棋缘》	映星照斗， (~照斗<COO>v:映 v:映+n:星+v:照斗) (i:映星照斗)
映星照斗	映星照斗
// 解析錯誤 @ 《我在幕后调教大佬》	星宿辰斗， (n:星宿+n:辰+v:斗) (i:星宿辰斗)
星宿辰斗	星宿辰斗
// 解析錯誤 @ 《我在幕后调教大佬》	星主量星测斗， (~斗<VOB>v:测 n:星+v:主+v:量+n:星+v:测+n:斗) (n:星主+v:量星+v:测斗) (n:星主+n:量星+v:测斗) (n:星+v:主+v:量+n:星+v:测斗)
量星测斗	量星測斗
// 解析錯誤 @ 《我在幕后调教大佬》	就连那些专门定制测星量斗计划的老一辈都知道了这件事情， (~定制<role.type:ARGM-ADV>专门 ~定制<role.type:A1>测星量斗计划 ~定制<←ADV>d:专门 ~定制<←VOB>n:计划 ~測星量斗<ATT>n:计划 d:专门+v:定制+i:测星量斗+n:计划+u:的+n:老一辈) (~制測星量斗<ATT>n:计划 v:定+v:制测星量斗+n:计划) (v:定制+n:测星量斗+n:计划)
测星量斗	測星量斗
// 解析錯誤 @ 《我在幕后调教大佬》	天工称星量斗， (v:量斗) (i:称星量斗) (~星量斗<VOB>v:称 v:称+n:星量斗) (v:称+n:星+n:量斗)
称星量斗	稱星量斗
// 解析錯誤 @ 《我在幕后调教大佬》	凑齐那一万余颗群星煞斗， (~煞斗<COO>v:凑 ~煞斗<←SBV>n:群星 v:凑+a:齐+r:那+m:一万+m:余+q:颗+n:群星+n:煞斗)
群星煞斗	群星煞斗
// 解析錯誤 @ 《我师兄实在太稳健了》	(p:除却+n:金灵+n:圣母+v:成+u:了+n:斗姆+n:元君)	(nh:斗姆元君宫+n:正殿+nd:前+wp:，)
// 解析錯誤 @ 《我在幕后调教大佬》	(r:那+d:可是+v:有着+ns:北极+n:紫气+u:之+n:尊+n:坎宫斗母+n:正神+r:这样+u:的+n:先天+n:神灵+wp:，)
坎宫	坎宮
斗母	斗母
斗姆	斗姆
// 解析錯誤 @ 《烂柯棋缘》	(v:正是+n:千斗壶+nd:中+n:龙涎香+wp:。)
千斗壶	千斗壺
// 解析錯誤 @ 《大奉打更人》	头大如斗， (~斗<POB>v:如 n:头+a:大+v:如+v:斗+wp:。) (n:头+a:大+v:如+n:斗)
// 《一品修仙》	听的秦阳头大如斗…… (~斗……<POB>v:如 v:听+u:的+nh:秦阳+n:头+a:大+v:如+n:斗……)
头大如斗	頭大如斗
// 《开局奖励一亿条命》	每个字都大如斗。 (~斗<POB>v:如 r:每个+n:字+d:都+a:大+v:如+n:斗+wp:。)
都大如斗	都大如斗
// 《从红月开始》	天上星辰如斗。 (~斗<VOB>v:如 nl:天上+n:星辰+v:如+n:斗+wp:。)
星辰如斗	星辰如斗
// 《宋朝游历指南》	又有阴阳克择官拿着花斗， (~花斗<VOB>v:拿 d:又+v:有+n:阴阳克择+n:官+v:拿+u:着+n:花斗+wp:，)
拿着花斗	拿著花斗


限制為	限制為
// 《烂柯棋缘》	而且也未必制得住杜大王， (~制<←RAD>u:得住 d:未必+v:制+u:得住+nh:杜+n:大王)
制得住	制得住
// [[稀有氣體]]	(d:都+d:已+v:制+v:得)
都已制得。	都已製得。
// 《咫尺之间人尽敌国》	谁还能制得了他！？ (r:谁+d:还+v:能+v:制+u:得+v:了+r:他)
制得了	制得了
// 解析錯誤 @ 《咫尺之间人尽敌国》	地形匹配制导这一复合制制导法。 (~匹配制<ATT>v:导 n:地形+n:匹配制+v:导+r:这+m:一+n:复合制制+n:导法)
匹配制	匹配制
// 《我的一天有48小时》	之前不喜欢大公会的分配制度， (~制度<VOB>v:喜欢 nd:之前+d:不+v:喜欢+n:大公会+u:的+v:分配+n:制度+wp:，)
分配制	分配制
// 《亏成首富从游戏开始》	逼乎是以邀请制为主， (~邀請制<POB>p:以 v:逼乎+v:是+p:以+n:邀请制+v:为主+wp:，)
邀请制	邀請制
// 《亏成首富从游戏开始》	其次是推行项目奖金制， (~獎金制<VOB>v:推行 c:其次+v:是+v:推行+n:项目+n:奖金制+wp:，)
奖金制	獎金制
// 《亏成首富从游戏开始》	我们游戏的定价策略就是以买断制为主， (~買斷制<POB>p:以 r:我们+n:游戏+u:的+v:定价+n:策略+d:就是+p:以+n:买断制+v:为主+wp:，)
买断制为主	買斷制為主
// 《我师兄实在太稳健了》	门内制度健全、福利优良。 (n:门+nd:内+n:制度+a:健全+wp:、+n:福利+z:优良)
内制度	內制度
// 《我的一天有48小时》	换句话说只要没法在一瞬间内制服他， (~制服<role.type:ARGM-DIS>只要 ~制服<role.type:ARGM-ADV>没法 ~制服<role.type:ARGM-TMP>在一瞬间内 ~制服<role.type:A1>他 c:换句话说+c:只要+v:没法+p:在+nt:一瞬间+nd:内+v:制服+r:他+wp:，)
内制服	內制服
// 《咫尺之间人尽敌国》	将情报做到这种程度再制订严密的计划， (~制訂<COO>v:做到 ~制訂<role.type:ARGM-DIS>再 ~制訂<role.type:A1>严密的计划 p:将+n:情报+v:做到+r:这种+n:程度+d:再+v:制订+a:严密+u:的+n:计划+wp:，)
再制订	再制訂
// 《我师兄实在太稳健了》	再制定计划， (~制定<role.type:ARGM-DIS>再 ~制定<role.type:A1>计划 d:再+v:制定+n:计划+wp:，)
再制定	再制定
// 《苍青之剑》	蜜儿再制止已经来不及了。 (~制止<SBV>v:来不及 ~制止<role.type:A0>蜜儿 ~制止<role.type:ARGM-ADV>再 nh:蜜儿+d:再+v:制止+d:已经+v:来不及+u:了+wp:。)
再制止	再制止
// 《我师兄实在太稳健了》	李长寿抬手制止了她的靠近， (~制止<COO>v:抬 ~制止<role.type:A0>李长寿 ~制止<role.type:A1>她的靠近 nh:李长寿+v:抬+n:手+v:制止+u:了+r:她+u:的+v:靠近+wp:，)
手制止	手制止
// 《我不可能是剑神》	顺手制伏了他们。 (~制伏<role.type:ARGM-ADV>顺手 ~制伏<role.type:A1>他们 d:顺手+v:制伏+u:了+r:他们+wp:。)
手制伏	手制伏
// 《我不可能是剑神》	若他这个年纪就真能随手制住他们， (c:若+r:他+r:这个+n:年纪+d:就+d:真+v:能+d:随手+v:制+v:住+r:他们+wp:，)
手制住	手制住
// 《咫尺之间人尽敌国》	天阙山计划由我一手制订， (~制訂<role.type:A0>由我 ~制訂<role.type:ARGM-ADV>一手 ns:天阙山+n:计划+p:由+r:我+d:一手+v:制订+wp:，)
手制订	手制訂
// 《随波逐流之一代军师》	我亲手制定的计策不能推翻， (~制定<ATT>n:计策 ~制定<role.type:A0>我 ~制定<role.type:ARGM-ADV>亲手 ~制定<role.type:A1>计策 r:我+d:亲手+v:制定+u:的+n:计策+d:不+v:能+v:推翻)
手制定	手制定
// 《咫尺之间人尽敌国》	赤炎王国看上去和我们联手制衡极光， (~制衡<COO>v:联手 ~制衡<role.type:A0>赤炎王国 ~制衡<role.type:ARGM-ADV>看上去 ~制衡<role.type:A1>极光 nz:赤炎+n:王国+v:看上去+p:和+r:我们+v:联手+v:制衡+n:极光+wp:，)
手制衡	手制衡
// 《第一序列》	心心念念想要亲手制裁梅戈、任小粟的凯尔大巫师， (~制裁<VOB>v:想 ~制裁<role.type:ARGM-ADV>亲手 ~制裁<role.type:A1>梅戈、任小粟 i:心心念念+v:想+v:要+d:亲手+v:制裁+nh:梅戈+wp:、+nh:任+nh:小粟+u:的+nh:凯尔+a:大+n:巫师+wp:，)
手制裁	手制裁
// 《第一序列》	可是关于灾变前的生产制度， (~制度<POB>p:关于 c:可是+p:关于+n:灾变+nd:前+u:的+v:生产+n:制度+wp:，)
// 《第一序列》	一些有关解放思想与生产制度的东西， (~生產制度<COO>i:解放思想 m:一些+p:有关+i:解放思想+c:与+v:生产制度+u:的+n:东西+wp:，)
生产制度	生產制度
// [general.TW.txt]	严重制约我们的选择 (a:严重+v:制约)
严重制约	嚴重制約
